tier1,tier2,tier3,description,example_utterance
Cognitive,concept_exploration,,Concepts *of* the learning task: meanings definitions theory (what ideas denote).,What is the bloom taxonomy?
Cognitive,solution_development,,Solutions *for* the learning task: answers options task products (how to complete or label the response).,The answer should be the last one.
Metacognitive,planning,,Plan problem-solving procedures, including goal setting.,We can first search for the answer.
Metacognitive,evaluating,,Assess information and task outcomes.,GPT results lack detail.
Metacognitive,monitoring,,Evaluate task progress and ensure alignment with plans.,We can move to the next question.
Coordinative,coordinate_participants,,Allocate tasks and assign roles within the team.,We can divide the task into three parts.
Coordinative,coordinate_procedures,,Organize workflow and resolve technical issues.,You go first.
Socio-emotional,emotional_expression,,Express feelings about group work.,That’s hilarious!
Socio-emotional,encouragement,,Praise or cheer up others.,Thank you!
Socio-emotional,self_disclosure,,Discuss personal issues or task unfamiliarity.,I’ve worked as a TA before.
